status,grain,source,column,year,n_cells,value_min,value_max,runtime_s,out_path,reason
skipped,h3_res4,ozone_lur,ozone_lur__o3_mean,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/ozone_lur/o3_mean_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,ozone_lur,ozone_lur__o3_mean,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/ozone_lur/o3_mean_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,ozone_lur,ozone_lur__o3_mean,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/ozone_lur/o3_mean_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,ozone_lur,ozone_lur__o3_p98,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/ozone_lur/o3_p98_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,ozone_lur,ozone_lur__o3_p98,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/ozone_lur/o3_p98_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,ozone_lur,ozone_lur__o3_p98,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/ozone_lur/o3_p98_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,pm25_lur,pm25_lur__pm25_mean,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/pm25_lur/pm25_mean_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,pm25_lur,pm25_lur__pm25_mean,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/pm25_lur/pm25_mean_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,pm25_lur,pm25_lur__pm25_mean,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/pm25_lur/pm25_mean_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,pm25_lur,pm25_lur__pm25_p98,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/pm25_lur/pm25_p98_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,pm25_lur,pm25_lur__pm25_p98,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/pm25_lur/pm25_p98_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,pm25_lur,pm25_lur__pm25_p98,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/pm25_lur/pm25_p98_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,svi,svi__theme1_rpl,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/svi/theme1_rpl_2018.png,missing parquet: h3_res4_2020_2018.parquet
skipped,h3_res4,svi,svi__theme1_rpl,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/svi/theme1_rpl_2019.png,missing parquet: h3_res4_2020_2019.parquet
skipped,h3_res4,svi,svi__theme1_rpl,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/svi/theme1_rpl_2020.png,missing parquet: h3_res4_2020_2020.parquet
skipped,h3_res4,svi,svi__themes_rpl,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/svi/themes_rpl_2018.png,missing parquet: h3_res4_2020_2018.parquet
skipped,h3_res4,svi,svi__themes_rpl,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/svi/themes_rpl_2019.png,missing parquet: h3_res4_2020_2019.parquet
skipped,h3_res4,svi,svi__themes_rpl,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/svi/themes_rpl_2020.png,missing parquet: h3_res4_2020_2020.parquet
skipped,h3_res4,walkability,walkability__natwalkind_derived,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/walkability/natwalkind_derived_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,walkability,walkability__natwalkind_derived,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/walkability/natwalkind_derived_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,walkability,walkability__natwalkind_derived,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/walkability/natwalkind_derived_2020.png,output exists (use --force to overwrite)
